GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.github.kyriosdata:exemplo,com.github.kyriosdata.exemplo,Calendario,0,142,0,14,0,22,0,11,0,4
com.github.kyriosdata:exemplo,com.github.kyriosdata.exemplo,ProgramaCalendario,11,0,0,0,5,0,2,0,2,0
